기준연도,기준분기,노선명,거리_필터,대분류,매출금액,가게수,점포당_평균매출
2020.0,3.0,진접선,2000,소매,12440115314.0,902,13791702.121951219
2020.0,3.0,하남선_1단계,500,소매,1003202955.0,27,37155665.0
2020.0,3.0,하남선_1단계,2000,소매,13920319924.0,1427,9754954.3966363
2020.0,3.0,하남선_2단계,500,소매,5113776090.0,141,36267915.5319149
2020.0,3.0,하남선_2단계,2000,소매,2941843326.0,726,4052125.7933884296
2020.0,4.0,경기도_대조군,Control,소매,1794676431243.0,104059,17246719.94967278
2020.0,4.0,김포골드라인,500,소매,17832258481.0,669,26655094.889387146
2020.0,4.0,김포골드라인,2000,소매,18230568461.0,1461,12478144.052703628
2020.0,4.0,안산선,500,소매,32340112577.0,1522,21248431.390932985
2020.0,4.0,안산선,2000,소매,47686685960.0,7756,6148360.747808148
2020.0,4.0,진접선,500,소매,1992832188.0,102,19537570.470588237
2020.0,4.0,진접선,2000,소매,12014551499.0,908,13231884.910792952
2020.0,4.0,하남선_1단계,2000,소매,13677003972.0,1436,9524376.025069637
2020.0,4.0,하남선_2단계,500,소매,5127911994.0,141,36368170.17021277
2020.0,4.0,하남선_2단계,2000,소매,2998765188.0,728,4119182.9505494507
2021.0,1.0,경기도_대조군,Control,소매,1754110631881.0,158597,11060175.361961449
2021.0,1.0,김포골드라인,500,소매,18457282998.0,990,18643720.2
2021.0,1.0,김포골드라인,2000,소매,16945558232.0,2260,7498034.615929203
2021.0,1.0,안산선,500,소매,29147016544.0,1609,18114988.529521443
2021.0,1.0,안산선,2000,소매,46070174093.0,9163,5027848.313107061
2021.0,1.0,진접선,500,소매,2127368789.0,132,16116430.219696969
2021.0,1.0,진접선,2000,소매,11556956216.0,1157,9988726.202247191
2021.0,1.0,하남선_1단계,500,소매,1002166448.0,32,31317701.5
2021.0,1.0,하남선_1단계,2000,소매,12774730966.0,1697,7527832.036535062
2021.0,1.0,하남선_2단계,500,소매,5261848515.0,200,26309242.575
2021.0,1.0,하남선_2단계,2000,소매,2991839763.0,885,3380609.9016949153
2021.0,2.0,경기도_대조군,Control,소매,1853520469271.0,158597,11686983.166585749
2021.0,2.0,김포골드라인,500,소매,19080719044.0,992,19234595.81048387
2021.0,2.0,김포골드라인,2000,소매,17500222762.0,2247,7788261.131286159
2021.0,2.0,안산선,500,소매,29803155031.0,1655,18007948.6592145
2021.0,2.0,안산선,2000,소매,47458290522.0,8975,5287831.813036212
2021.0,2.0,진접선,500,소매,2636957498.0,144,18312204.847222224
2021.0,2.0,진접선,2000,소매,12602636308.0,1144,11016290.47902098
2021.0,2.0,하남선_1단계,500,소매,1347698606.0,33,40839351.696969695
2021.0,2.0,하남선_1단계,2000,소매,14285936653.0,1729,8262542.887796414
2021.0,2.0,하남선_2단계,500,소매,5739818403.0,196,29284787.770408165
2021.0,2.0,하남선_2단계,2000,소매,3076776051.0,885,3476583.1084745764
2021.0,3.0,경기도_대조군,Control,소매,1899873773948.0,158597,11979254.172197456
2021.0,3.0,김포골드라인,500,소매,20388480798.0,983,20741079.143438455
2021.0,3.0,김포골드라인,2000,소매,18069799838.0,2204,8198638.764972777
2021.0,3.0,안산선,500,소매,30683813251.0,1670,18373540.868862275
2021.0,3.0,안산선,2000,소매,47629531034.0,9054,5260606.476032693
2021.0,3.0,진접선,500,소매,2634366886.0,131,20109670.885496184
2021.0,3.0,진접선,2000,소매,13130561663.0,1117,11755202.921217548
2021.0,3.0,하남선_1단계,500,소매,1009472486.0,33,30590075.333333332
2021.0,3.0,하남선_1단계,2000,소매,13729549166.0,1694,8104810.60566706
2021.0,3.0,하남선_2단계,500,소매,5460760627.0,194,28148250.654639177
2021.0,3.0,하남선_2단계,2000,소매,3694077676.0,871,4241191.361653272
2021.0,4.0,경기도_대조군,Control,소매,1983968912988.0,158597,12509498.370006999
2021.0,4.0,김포골드라인,500,소매,21378823950.0,990,21594771.666666668
2021.0,4.0,김포골드라인,2000,소매,18753668173.0,2205,8505064.93106576
2021.0,4.0,안산선,500,소매,33455217712.0,1693,19760908.27643237
2021.0,4.0,안산선,2000,소매,52295122612.0,9012,5802832.069684865
2021.0,4.0,진접선,500,소매,2835296459.0,147,19287731.013605442
2021.0,4.0,진접선,2000,소매,13149949049.0,1115,11793676.277130045
2021.0,4.0,하남선_1단계,500,소매,883745428.0,34,25992512.588235293
2021.0,4.0,하남선_1단계,2000,소매,14130641682.0,1725,8191676.337391305
2021.0,4.0,하남선_2단계,500,소매,5347396574.0,200,26736982.87
2021.0,4.0,하남선_2단계,2000,소매,3443623786.0,879,3917660.7349260524
2022.0,1.0,경기도_대조군,Control,소매,1918701346714.0,167600,11448098.7274105
2022.0,1.0,김포골드라인,500,소매,22721634822.0,891,25501273.64983165
2022.0,1.0,김포골드라인,2000,소매,17070442826.0,2065,8266558.269249395
2022.0,1.0,안산선,500,소매,60784428551.0,1509,40281264.77866136
2022.0,1.0,안산선,2000,소매,49694828423.0,9067,5480845.750854748
2022.0,1.0,진접선,500,소매,2839385740.0,108,26290608.703703705
2022.0,1.0,진접선,2000,소매,11759717370.0,1003,11724543.738783648
2022.0,1.0,하남선_1단계,500,소매,814397148.0,31,26270875.741935484
2022.0,1.0,하남선_1단계,2000,소매,12773887292.0,1734,7366717.008073818
2022.0,1.0,하남선_2단계,500,소매,5091328452.0,181,28128886.47513812
2022.0,1.0,하남선_2단계,2000,소매,3025807798.0,864,3502092.358796296
2022.0,2.0,경기도_대조군,Control,소매,1993010063942.0,167600,11891468.161945108
2022.0,2.0,김포골드라인,500,소매,19910431340.0,809,24611163.584672436
2022.0,2.0,김포골드라인,2000,소매,15519579904.0,1526,10170104.786369594
2022.0,2.0,김포골드라인,2000,소매,3373602493.0,579,5826601.887737478
2022.0,2.0,김포골드라인,500,소매,685452816.0,92,7450574.0869565215
2022.0,2.0,안산선,500,소매,78930501247.0,1548,50988695.895994835
2022.0,2.0,안산선,2000,소매,45171146135.0,7541,5990073.748176634
2022.0,2.0,안산선,2000,소매,6864448210.0,1441,4763669.819569743
2022.0,2.0,진접선,500,소매,3048593030.0,102,29888166.960784312
2022.0,2.0,진접선,2000,소매,9720682137.0,675,14401010.573333334
2022.0,2.0,진접선,2000,소매,2346486457.0,300,7821621.523333333
2022.0,2.0,진접선,500,소매,59990472.0,6,9998412.0
2022.0,2.0,하남선_1단계,500,소매,910070753.0,36,25279743.138888888
2022.0,2.0,하남선_1단계,2000,소매,11428562346.0,1016,11248584.986220472
2022.0,2.0,하남선_1단계,2000,소매,2766428476.0,650,4256043.809230769
2022.0,2.0,하남선_2단계,500,소매,5556389930.0,178,31215673.764044944
2022.0,2.0,하남선_2단계,2000,소매,3324522099.0,786,4229671.88167939
2022.0,2.0,하남선_2단계,2000,소매,109702758.0,77,1424711.142857143
2022.0,3.0,경기도_대조군,Control,소매,1974626126734.0,167600,11781778.799128879
2022.0,3.0,김포골드라인,2000,소매,19022158370.0,2091,9097158.474414157
2022.0,3.0,김포골드라인,500,소매,21684217044.0,912,23776553.77631579
2022.0,3.0,안산선,2000,소매,46634487519.0,8837,5277185.415751952
2022.0,3.0,안산선,500,소매,78086930095.0,1519,51406800.589203425
2022.0,3.0,진접선,2000,소매,12064697615.0,984,12260871.55995935
2022.0,3.0,진접선,500,소매,3550728566.0,104,34141620.82692308
2022.0,3.0,하남선_1단계,2000,소매,14083921257.0,1555,9057184.088102894
2022.0,3.0,하남선_1단계,500,소매,954915007.0,33,28936818.393939395
2022.0,3.0,하남선_2단계,2000,소매,3298441410.0,850,3880519.305882353
2022.0,3.0,하남선_2단계,500,소매,5541777518.0,180,30787652.877777778
2022.0,4.0,경기도_대조군,Control,소매,2035708501351.0,167600,12146232.108299524
2022.0,4.0,김포골드라인,2000,소매,17903341420.0,2047,8746136.502198339
2022.0,4.0,김포골드라인,500,소매,20836035236.0,895,23280486.297206704
2022.0,4.0,안산선,2000,소매,51060544955.0,8788,5810257.732703687
2022.0,4.0,진접선,2000,소매,11895013321.0,976,12187513.648565574
2022.0,4.0,진접선,500,소매,3670448111.0,99,37075233.44444445
2022.0,4.0,하남선_1단계,2000,소매,14099759811.0,1609,8763057.682411436
2022.0,4.0,하남선_1단계,500,소매,995520381.0,30,33184012.7
2022.0,4.0,하남선_2단계,2000,소매,2977382804.0,852,3494580.755868545
2022.0,4.0,하남선_2단계,500,소매,5303618854.0,181,29301761.62430939
2023.0,1.0,경기도_대조군,Control,소매,1921751416534.0,167600,11466297.234689737
2023.0,1.0,김포골드라인,2000,소매,15774201030.0,2028,7778205.6360946745
2023.0,1.0,김포골드라인,500,소매,20679631496.0,885,23366815.249717515
2023.0,1.0,안산선,2000,소매,46582659178.0,8661,5378438.884424431
2023.0,1.0,안산선,500,소매,78513215816.0,1456,53923911.961538464
2023.0,1.0,진접선,2000,소매,10918934094.0,966,11303244.403726708
2023.0,1.0,진접선,500,소매,3812216785.0,110,34656516.22727273
2023.0,1.0,하남선_1단계,2000,소매,13870539195.0,1603,8652862.878976919
2023.0,1.0,하남선_1단계,500,소매,949341306.0,32,29666915.8125
2023.0,1.0,하남선_2단계,2000,소매,7128258223.0,793,8988976.321563682
2023.0,1.0,하남선_2단계,500,소매,4867496854.0,102,47720557.39215686
2023.0,2.0,경기도_대조군,Control,소매,2016229533031.0,167600,12030009.146963008
2023.0,2.0,김포골드라인,2000,소매,17600938738.0,2034,8653362.211406097
2023.0,2.0,김포골드라인,500,소매,21226466585.0,885,23984708.005649716
2023.0,2.0,안산선,2000,소매,47162579238.0,8713,5412897.8810972115
2023.0,2.0,안산선,500,소매,79871659730.0,1478,54040365.17591339
2023.0,2.0,진접선,2000,소매,12182977173.0,975,12495361.203076923
2023.0,2.0,진접선,500,소매,2805075898.0,97,28918308.226804122
2023.0,2.0,하남선_1단계,2000,소매,13937112825.0,1652,8436508.973970944
2023.0,2.0,하남선_1단계,500,소매,1213884241.0,31,39157556.161290325
2023.0,2.0,하남선_2단계,2000,소매,13923951924.0,803,17339915.222914074
2023.0,2.0,하남선_2단계,500,소매,5416103825.0,181,29923225.55248619
2023.0,3.0,경기도_대조군,Control,소매,2005034721219.0,167600,11963214.32708234
2023.0,3.0,김포골드라인,2000,소매,17731620244.0,2003,8852531.32501248
2023.0,3.0,김포골드라인,500,소매,21356122946.0,861,24803859.403019745
2023.0,3.0,안산선,2000,소매,45487170900.0,8695,5231417.009775734
